-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, 1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, 1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, 4.47035e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -2.98023e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, 0
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, 1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, 0
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, 1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.374189, 0.903372, 0.209529, 0.180674
-0.903372, 0.374189, 0.209529, -1.49012e-08
0.903372, 0.374189, 0.209529, 0.180674
0.0419673, 0.0173835, 0.998968, 0.208187
0.374189, 0.903372, 0.209529, 1.91044
-0.374189, 0.903372, 0.209529, 0.180674
-0.0173835, 0.0419673, 0.998968, 0.407981
-0.903372, 0.374189, 0.209529, -1.49012e-08
-0.0419673, 0.0173835, 0.998968, 0.199794
